iter	Logloss
0	0.6880442587
1	0.6812565836
2	0.6759734422
3	0.6716761214
4	0.6668259696
5	0.6614344736
6	0.6564443781
7	0.6510717413
8	0.6470112747
9	0.643752366
10	0.6400937284
11	0.6361604326
12	0.6313033372
13	0.6274749242
14	0.624996271
15	0.6205929531
16	0.6168720803
17	0.613489301
18	0.6103589347
19	0.6067345866
20	0.6037174611
21	0.6001435183
22	0.5972473487
23	0.5944067709
24	0.5909988746
25	0.5876871602
26	0.5851760178
27	0.58301137
28	0.5792102599
29	0.5764110437
30	0.5741532144
31	0.5724611604
32	0.569112842
33	0.5672887309
34	0.5633845811
35	0.5617115149
36	0.5583380367
37	0.5560107285
38	0.5532313143
39	0.5510999701
40	0.549274316
41	0.5465433356
42	0.5446486741
43	0.5414741602
44	0.5387923851
45	0.5361575866
46	0.5346278501
47	0.531900513
48	0.5303766915
49	0.5289609245
50	0.5264347376
51	0.52490753
52	0.5229788791
53	0.52074981
54	0.5194828162
55	0.5179964558
56	0.5156879639
57	0.5135360889
58	0.5121319803
59	0.5105872851
60	0.5092954743
61	0.5071114529
62	0.5052842987
63	0.5032112464
64	0.5016839531
65	0.4995456224
66	0.4972312156
67	0.496084149
68	0.4946187909
69	0.4924244398
70	0.4905767548
71	0.4890279877
72	0.4876898433
73	0.4868355226
74	0.4852017178
75	0.4843167509
76	0.4824384196
77	0.4807111762
78	0.4793780895
79	0.4781506999
80	0.4769994757
81	0.4756647174
82	0.4744738461
83	0.4731586756
84	0.4715674754
85	0.4709046182
86	0.4703665744
87	0.4698679206
88	0.4683774455
89	0.4671222815
90	0.4662228274
91	0.465667296
92	0.4649578052
93	0.4633084844
94	0.4625289574
95	0.461382148
96	0.4605410287
97	0.4596571333
98	0.4584278578
99	0.4570165056
100	0.4562641101
101	0.4553198225
102	0.4548132821
103	0.4540304977
104	0.4529528671
105	0.4520579563
106	0.4515084256
107	0.4505628093
108	0.4491342695
109	0.448791161
110	0.4482522172
111	0.4473000001
112	0.4465613204
113	0.4455032349
114	0.4451346665
115	0.4446242257
116	0.4439691694
117	0.4433703476
118	0.4422345536
119	0.4415597808
120	0.4404607623
121	0.4390510388
122	0.4387706371
123	0.4386239641
124	0.4379571207
125	0.4370530375
126	0.4368022104
127	0.4364993492
128	0.4357923443
129	0.4351954085
130	0.4341970722
131	0.4332316967
132	0.432535493
133	0.4317230053
134	0.4308033632
135	0.4304650125
136	0.4299441563
137	0.4293113451
138	0.4288104625
139	0.4282620891
140	0.4279186806
141	0.4274335711
142	0.4272066609
143	0.4266473149
144	0.4261377742
145	0.4258156251
146	0.4253460316
147	0.4250866751
148	0.424385328
149	0.4239792127
150	0.423325828
151	0.4223833406
152	0.4222168226
153	0.4214807575
154	0.4212381599
155	0.420871606
156	0.4205180393
157	0.4202627975
158	0.4201370839
159	0.4193891461
160	0.4190420086
161	0.4184994215
162	0.4179815228
163	0.4177659281
164	0.4171542907
165	0.4168438001
166	0.4165742424
167	0.4162966696
168	0.4161872435
169	0.4158476497
170	0.4153275651
171	0.4149519674
172	0.4146840813
173	0.4142003006
174	0.4139456588
175	0.4137038327
176	0.4130693929
177	0.4126896376
178	0.412220987
179	0.4121126754
180	0.4119786895
181	0.411786283
182	0.4115364846
183	0.4112307088
184	0.4110475176
185	0.4108133209
186	0.4105076308
187	0.410146649
188	0.4100670975
189	0.4097484631
190	0.4091676005
191	0.4089074296
192	0.4086672322
193	0.4085229166
194	0.4083724718
195	0.4079441542
196	0.4075037495
197	0.4074339706
198	0.4067450963
199	0.4061363735
200	0.4058213823
201	0.4050561283
202	0.4048771805
203	0.4045382725
204	0.404414402
205	0.4040946103
206	0.4039766976
207	0.4037823195
208	0.4036536056
209	0.4034958743
210	0.4031523801
211	0.4030231947
212	0.4028602772
213	0.4026484114
214	0.4024275876
215	0.4022767142
216	0.4020876081
217	0.4016502466
218	0.4015286049
219	0.4013009232
220	0.4009832747
221	0.4008540464
222	0.4005348977
223	0.400257925
224	0.4001494847
225	0.400031872
226	0.3999212029
227	0.3997312396
228	0.3995522488
229	0.3993596281
230	0.3992049828
231	0.3989933314
232	0.3988258276
233	0.3983178728
234	0.3981893304
235	0.3979067856
236	0.3977293807
237	0.3974208189
238	0.3970554652
